x,y,z,global_index
-64.4099,-7.1637,-1502.5,10
-55.3361,0.635342,-1502.5,10
-83.8305,-1.14301,-1502.5,10
-96.1091,-8.24103,-1502.5,10
-62.6736,-9.3712,-1502.5,10
-57.0687,-8.17777,-1502.5,10
-73.8723,-2.5789,-1502.5,10
-63.8535,-10.8684,-1502.5,10
-97.2548,-10.8891,-1502.5,10
-90.2929,-3.26937,-1502.5,10
-59.183,-0.670508,-1502.5,10
-42.6239,-10.6612,-1502.5,10
-72.534,2.64219,-1502.5,10
-63.5012,-1.86299,-1502.5,10
-63.4365,-3.26222,-1502.5,10
-57.3119,-5.08732,-1502.5,10
-97.2557,-6.57587,-1502.5,10
-79.9994,-7.17379,-1502.5,10
-100.922,0.407992,-1502.5,10
-57.1388,2.75042,-1502.5,10
-68.1471,-9.30043,-1502.5,10
-136.308,0.330197,-1502.0,10
-110.555,2.52188,-1502.0,10
-129.148,-3.79354,-1502.0,10
-153.202,-12.6639,-1502.0,10
-136.492,-9.08835,-1502.0,10
-150.699,-10.1456,-1502.0,10
-174.038,-2.01485,-1502.0,10
-103.95,-15.9393,-1498.0,10
-143.559,-16.1636,-1498.0,10
-152.17,-23.8135,-1498.0,10
-104.363,-13.7755,-1498.0,10
-115.442,-14.9676,-1498.0,10
-109.871,-21.1573,-1498.0,10
-79.3203,-17.989,-1498.0,10
-87.6197,-17.1534,-1498.0,10
-96.7733,-23.3618,-1498.0,10
-62.4736,-9.36801,-1498.0,10
-85.6386,-16.1345,-1498.0,10
-77.2376,-25.4592,-1498.0,10
-83.1324,-28.417,-1498.0,10
-77.468,-17.2358,-1498.0,10
-56.9143,-8.18761,-1498.0,10
-62.8231,-15.211,-1498.0,10
-67.9302,-9.28966,-1498.0,10
-68.68,-17.4913,-1498.0,10
-86.0223,-25.0119,-1498.0,10
-63.679,-10.8401,-1498.0,10
-108.177,-20.438,-1502.0,10
-110.18,-21.2656,-1502.0,10
-151.273,-30.1087,-1502.0,10
-116.417,-30.6427,-1502.0,10
-153.128,-32.9079,-1502.0,10
-104.255,-16.0197,-1502.0,10
-137.648,-29.0615,-1502.0,10
-143.974,-29.933,-1502.0,10
-108.58,-29.0562,-1502.0,10
-112.28,-30.5429,-1502.0,10
-103.805,-24.5946,-1502.0,10
-65.4095,-26.0923,-1502.0,10
-70.2361,-36.0471,-1502.0,10
-77.8816,-32.3408,-1502.0,10
-72.8297,-27.434,-1502.0,10
-80.2594,-37.7635,-1502.0,10
-83.3511,-28.4908,-1502.0,10
-70.8806,-31.5515,-1502.0,10
-50.9999,-28.8369,-1502.0,10
-75.3879,-32.282,-1502.0,10
-77.4622,-25.5104,-1502.0,10
-66.8445,-34.534,-1502.0,10
-62.6033,-24.9299,-1502.0,10
-57.7177,-32.756,-1502.0,10
-59.7462,-24.9912,-1502.0,10
-90.9964,-33.5518,-1502.0,10
-67.7941,-37.0921,-1502.0,10
-85.7707,-42.4276,-1502.0,10
-101.029,-33.9935,-1498.0,10
-134.448,-53.4735,-1498.0,10
-108.27,-28.932,-1498.0,10
-155.642,-47.2353,-1498.0,10
-122.233,-39.9073,-1498.0,10
-116.115,-30.5594,-1498.0,10
-127.51,-43.7126,-1498.0,10
-119.423,-37.9437,-1498.0,10
-141.865,-51.6879,-1498.0,10
-149.351,-54.1444,-1498.0,10
-111.987,-30.4416,-1498.0,10
-99.6592,-40.706,-1498.0,10
-94.0503,-48.4414,-1502.0,10
-157.843,-67.3169,-1502.0,10
-131.734,-63.878,-1502.0,10
-109.616,-48.7006,-1502.0,10
-133.848,-54.536,-1502.0,10
-135.804,-68.6812,-1502.0,10
-102.275,-47.9188,-1502.0,10
-120.16,-46.1954,-1502.0,10
-134.837,-53.5512,-1502.0,10
-135.116,-59.7416,-1502.0,10
-135.067,-66.2789,-1502.0,10
-115.053,-48.6418,-1502.0,10
-99.9165,-40.8654,-1502.0,10
-99.5651,-52.5161,-1502.0,10
-148.006,-69.4775,-1502.0,10
-70.0195,-35.9004,-1497.5,10
-50.1809,-37.6999,-1497.5,10
-62.4462,-42.9877,-1497.5,10
-85.8023,-45.6716,-1497.5,10
