x,y,z,global_index
-64.4099,-7.1637,-1502.5,10
-83.8305,-1.14301,-1502.5,10
-42.6239,-10.6612,-1502.5,10
-152.17,-23.8135,-1498.0,10
-108.177,-20.438,-1502.0,10
-122.233,-39.9073,-1498.0,10
-120.16,-46.1954,-1502.0,10
-60.0904,-45.6578,-1497.5,10
-36.349,-13.1163,-1497.5,10
-131.354,-98.5751,-1502.0,10
-130.57,-104.773,-1498.0,10
-120.535,-103.503,-1498.0,10
-82.2033,-71.6071,-1502.0,10
-113.663,-112.85,-1502.0,10
-93.9573,-82.806,-1502.0,10
-93.6719,-143.175,-1502.0,10
-85.5745,-126.204,-1502.0,10
-52.5797,-92.9929,-1498.0,10
-72.238,-134.213,-1498.0,10
-76.6587,-133.262,-1498.0,10
-26.0355,-71.2511,-1497.5,10
-37.3473,-131.165,-1502.0,10
-7.82308,-69.6962,-1498.0,10
-2.66155,-64.9599,-1498.0,10
-14.8267,-118.395,-1498.0,10
-5.65658,-106.652,-1502.0,10
2.17408,-116.855,-1498.0,10
23.7822,-123.807,-1502.0,10
17.9922,-163.421,-1502.0,10
16.8756,-85.19,-1497.5,10
10.7333,-65.3762,-1497.5,10
36.6946,-134.541,-1498.0,10
22.8129,-126.733,-1498.0,10
33.8007,-125.913,-1498.0,10
42.1702,-103.123,-1502.0,10
44.0537,-101.32,-1498.0,10
65.131,-136.757,-1498.0,10
39.1064,-74.364,-1498.0,10
22.1328,-34.0967,-1502.0,10
88.9457,-118.748,-1502.0,10
87.6437,-83.5778,-1498.0,10
48.1887,-51.5205,-1497.5,10
99.2154,-83.0307,-1502.0,10
125.029,-99.1756,-1502.0,10
96.0057,-59.0078,-1498.0,10
95.2321,-49.9819,-1502.0,10
80.2433,-38.6901,-1498.0,10
123.081,-55.0976,-1498.0,10
156.122,-37.399,-1498.0,10
71.1306,-2.76437,-1497.5,10
152.73,-23.2486,-1502.0,10
107.648,-22.7776,-1502.0,10
82.5784,6.42383,-1502.5,10
117.887,20.6599,-1498.0,10
101.141,32.1862,-1502.0,10
71.0866,23.4107,-1502.0,10
102.009,27.2166,-1498.0,10
71.0649,40.9391,-1497.5,10
56.0674,31.1666,-1497.5,10
125.426,60.7332,-1498.0,10
120.333,75.3086,-1502.0,10
118.654,109.35,-1498.0,10
101.882,76.0009,-1498.0,10
112.822,88.0763,-1498.0,10
29.3897,29.822,-1498.0,10
45.5856,42.9892,-1498.0,10
39.6748,55.2219,-1502.0,10
85.4359,125.127,-1502.0,10
66.1156,104.901,-1502.0,10
97.5658,138.722,-1502.0,10
57.7414,93.7835,-1498.0,10
66.747,155.277,-1502.0,10
55.8589,131.027,-1502.0,10
66.3521,144.852,-1502.0,10
59.4244,153.462,-1498.0,10
50.3286,141.271,-1498.0,10
12.5582,132.31,-1498.0,10
13.5382,143.084,-1502.0,10
-8.40434,152.011,-1498.0,10
-23.6412,142.516,-1502.0,10
-16.2746,62.9695,-1497.5,10
-17.622,65.258,-1497.5,10
-25.1894,97.3179,-1497.5,10
-24.9083,81.9601,-1502.5,10
-41.0547,99.9293,-1502.0,10
-53.719,156.736,-1502.0,10
-47.2338,165.55,-1502.0,10
-33.2039,117.889,-1502.0,10
-57.4951,161.394,-1502.0,10
-67.3109,153.992,-1498.0,10
-70.033,120.088,-1502.0,10
-69.2429,74.1825,-1502.0,10
-48.8448,49.8618,-1502.0,10
-87.016,86.8544,-1498.0,10
-34.7602,27.5587,-1497.5,10
-67.6839,47.4512,-1497.5,10
-115.377,78.6122,-1498.0,10
-149.219,75.9315,-1502.0,10
-149.879,90.61,-1502.0,10
-102.265,55.7305,-1502.0,10
-45.6473,15.0069,-1498.0,10
-146.023,66.0241,-1498.0,10
-126.891,48.9625,-1498.0,10
-131.221,51.5232,-1502.0,10
-128.631,22.2979,-1498.0,10
-60.1887,-2.45989,-1497.5,10
-107.088,15.1378,-1502.0,10
-164.212,6.31503,-1498.0,10
-92.379,-6.86045,-1302.5,9
-81.4282,-2.50202,-1302.5,9
-149.491,-29.0343,-1302.0,9
-62.2464,-27.1513,-1302.0,9
-157.956,-45.1105,-1298.0,9
-147.114,-52.9934,-1298.0,9
-158.392,-47.0268,-1298.0,9
-134.12,-64.1188,-1302.0,9
-34.2641,-18.4206,-1297.5,9
-67.9026,-43.0137,-1297.5,9
-82.8473,-42.6995,-1297.5,9
-102.041,-62.8523,-1302.0,9
-82.9932,-66.5183,-1302.0,9
-88.3075,-64.7731,-1302.0,9
-30.796,-15.756,-1302.5,9
-51.1455,-49.5659,-1298.0,9
-77.3737,-79.5178,-1302.0,9
-104.773,-110.415,-1302.0,9
-83.6176,-149.968,-1298.0,9
-42.0874,-115.376,-1298.0,9
-29.5227,-103.026,-1298.0,9
-59.219,-164.278,-1298.0,9
-15.2641,-88.7174,-1302.5,9
-1.76929,-55.9379,-1298.0,9
-15.9634,-174.608,-1302.0,9
-9.62635,-129.341,-1302.0,9
-8.34473,-109.581,-1302.0,9
6.78882,-92.3143,-1302.0,9
-3.35238,-59.0365,-1302.0,9
0.582406,-164.59,-1298.0,9
3.2338,-46.8905,-1297.5,9
20.4723,-112.048,-1298.0,9
31.5268,-168.742,-1298.0,9
27.958,-54.3655,-1302.5,9
61.4343,-160.745,-1302.0,9
41.6184,-113.424,-1302.0,9
39.47,-119.257,-1302.0,9
34.5511,-111.504,-1302.0,9
23.9791,-26.4291,-1298.0,9
80.3159,-146.712,-1302.0,9
85.3737,-148.128,-1302.0,9
87.8153,-94.851,-1298.0,9
95.0285,-86.9321,-1298.0,9
49.4768,-46.507,-1297.5,9
94.6539,-82.3087,-1302.0,9
102.907,-87.5647,-1302.0,9
113.846,-98.0658,-1302.0,9
26.8574,-14.8534,-1302.5,9
139.864,-82.1621,-1302.0,9
73.9903,-32.1109,-1298.0,9
93.0885,-28.3826,-1302.0,9
94.9013,-18.7407,-1302.0,9
161.371,-39.4885,-1298.0,9
111.774,-25.7104,-1298.0,9
152.727,-19.3581,-1302.0,9
133.411,-25.4001,-1302.0,9
98.9026,9.41038,-1302.5,9
78.6202,0.014825,-1302.5,9
60.4584,18.292,-1302.0,9
163.418,57.3798,-1298.0,9
137.273,75.8026,-1298.0,9
97.0135,72.4388,-1298.0,9
32.2934,42.2376,-1298.0,9
107.31,115.711,-1302.0,9
68.3345,114.399,-1302.0,9
79.2134,135.792,-1298.0,9
14.7029,56.6478,-1297.5,9
